FULL NAME,TEAM,POINTS PER GAME
Reggie Bullock,Lal,9.3
Reggie Jackson,Det,15.4
Richaun Holmes,Pho,8.2
Ricky Rubio,Uta,12.7
RJ Hunter,Bos,17
Robert Covington,Min,14.5
Robert Covington,Phi,11.3
Robert Williams III,Bos,2.6
Robin Lopez,Chi,9.5
Rodions Kurucs,Bro,8.5
Rodney Hood,Cle,12.2
Rodney Hood,Por,9.6
Rodney McGruder,Mia,7.6
Ron Baker,Nyk,1.3
Ron Baker,Was,0
Rondae Hollis-Jefferson,Bro,8.9
Royce O'Neale,Uta,5.2
Rudy Gay,San,13.7
Rudy Gobert,Uta,15.9
Russell Westbrook,Okc,22.9
Ryan Anderson,Pho,3.7
Ryan Anderson,Mia,0.7
Ryan Arcidiacono,Chi,6.7
Ryan Broekhoff,Dal,4
Salah Mejri,Dal,3.9
Sam Dekker,Cle,6.3
Sam Dekker,Was,6.1
Scott Machado,Lal,2.5
Semi Ojeleye,Bos,3.3
Serge Ibaka,Tor,15
Seth Curry,Por,7.9
Shabazz Napier,Bro,9.4
Shai Gilgeous-Alexander,Lac,10.8
Shake Milton,Phi,4.4
Shaquille Harrison,Chi,6.5
Shaun Livingston,Gol,4
Shelvin Mack,Mem,7.9
Shelvin Mack,Cha,2.3
Sindarius Thornwell,Lac,1
Skal Labissiere,Por,3.4
Skal Labissiere,Sac,2.8
Solomon Hill,Nor,4.3
Spencer Dinwiddie,Bro,16.8
Stanley Johnson,Det,7.5
Stanley Johnson,Nor,5.3
Stephen Curry,Gol,27.3
Sterling Brown,Mil,6.4
Steven Adams,Okc,13.9
Svi Mykhailiuk,Lal,3.3
Svi Mykhailiuk,Det,2
T.J. McConnell,Phi,6.4
T.J. Warren,Pho,18
Tahjere McCall,Bro,4
Taj Gibson,Min,10.8
Taurean Prince,Atl,13.5
Terrance Ferguson,Okc,6.9
Terrence Jones,Hou,1
Terrence Ross,Orl,15.1
Terry Rozier,Bos,9
Thabo Sefolosha,Uta,3.8
Thaddeus Young,Ind,12.6
Theo Pinson,Bro,4.5
Thomas Bryant,Was,10.5
Thomas Welsh,Den,1.6
Thon Maker,Det,5.5
Thon Maker,Mil,4.7
Tim Frazier,Mil,6.3
Tim Frazier,Nor,5
Tim Hardaway Jr.,Nyk,19.1
Tim Hardaway Jr.,Dal,15.5
Timothe Luwawu-Cabarrot,Chi,6.8
Timothe Luwawu-Cabarrot,Okc,1.7
TJ Leaf,Ind,3.9
Tobias Harris,Lac,20.9
Tobias Harris,Phi,18.2
Tomas Satoransky,Was,8.9
Tony Bradley,Uta,5.7
Tony Parker,Cha,9.5
Tony Snell,Mil,6
Torrey Craig,Den,5.7
Trae Young,Atl,19.1
Treveon Graham,Bro,5.3
Trevon Duval,Mil,1.7
Trevor Ariza,Was,14.1
Trevor Ariza,Pho,9.9
Trey Burke,Nyk,11.8
Trey Burke,Dal,9.7
Trey Lyles,Den,8.7
Tristan Thompson,Cle,10.9
Troy Brown Jr.,Was,4.8
Troy Caupain,Orl,2.5
Troy Daniels,Pho,6.2
Troy Williams,Sac,5.3
Tyler Cavanaugh,Uta,0.8
Tyler Davis,Okc,0
Tyler Dorsey,Mem,9.8
Tyler Dorsey,Atl,3.3
Tyler Johnson,Pho,11.1
Tyler Johnson,Mia,10.8
Tyler Lydon,Den,0.9
Tyler Ulis,Chi,0
Tyler Zeller,Mem,11.5
Tyler Zeller,Atl,0
Tyreke Evans,Ind,10.2
Tyrone Wallace,Lac,3.5
Tyson Chandler,Pho,3.7
Tyson Chandler,Lal,3.1
Tyus Jones,Min,6.9
Udonis Haslem,Mia,2.5
Victor Oladipo,Ind,18.8
Vince Carter,Atl,7.4
Vincent Edwards,Hou,1.5
Wade Baldwin IV,Por,1.9
Walter Lemon Jr.,Chi,14.3
Wayne Ellington,Det,12
Wayne Ellington,Mia,8.4
Wayne Selden,Chi,8
Wayne Selden,Mem,5.4
Wendell Carter Jr.,Chi,10.3
Wes Iwundu,Orl,5
Wesley Johnson,Nor,3.7
Wesley Johnson,Was,2.8
Wesley Matthews,Dal,13.1
Wesley Matthews,Ind,10.9
Wesley Matthews,Nyk,7
Will Barton,Den,11.5
Willie Cauley-Stein,Sac,11.9
Willy Hernangomez,Cha,7.3
Wilson Chandler,Phi,6.7
Wilson Chandler,Lac,4.3
Yante Maten,Mia,1
Yogi Ferrell,Sac,5.9
Yuta Watanabe,Mem,2.6
Zach Collins,Por,6.6
Zach LaVine,Chi,23.7
Zach Lofton,Det,0
Zaza Pachulia,Det,3.9
Zhaire Smith,Phi,6.7
Zhou Qi,Hou,2
